acc,f1_macro,precision_macro,recall_macro,auc,f1_c0,recall_c0,f1_c1,recall_c1,f1_c2,recall_c2,recall_ictal,cm,model,repeat,fold,axis,variant,params,sec
0.96,0.9577497197316917,0.9681971774995031,0.9500000000000001,0.9985416666666667,0.963855421686747,1.0,0.9620253164556962,0.95,0.9473684210526315,0.9,0.9,"[[40, 0, 0], [2, 38, 0], [1, 1, 18]]",attention,1,3,budget,small,73421.0,168.36401280001155
0.97,0.9707739791073124,0.9754065040650407,0.9666666666666667,0.9990277777777777,0.975,0.975,0.9629629629629629,0.975,0.9743589743589743,0.95,0.95,"[[39, 1, 0], [1, 39, 0], [0, 1, 19]]",score,1,3,budget,small,,0.0
0.54,0.5833235409322365,0.5618024132730015,0.6166666666666667,0.7404861111111112,0.475,0.475,0.40540540540540543,0.375,0.8695652173913043,1.0,1.0,"[[19, 19, 2], [21, 15, 4], [0, 0, 20]]",logvar,1,3,budget,small,3.0,0.0
0.97,0.9672493469961824,0.9611499611499612,0.975,0.9968749999999998,0.9873417721518988,0.975,0.9620253164556962,0.95,0.9523809523809523,1.0,1.0,"[[39, 1, 0], [0, 38, 2], [0, 0, 20]]",shallow,1,3,budget,small,21.0,0.0
0.96,0.9580361159308527,0.9696969696969697,0.9500000000000001,0.993125,0.9743589743589743,0.95,0.9523809523809523,1.0,0.9473684210526315,0.9,0.9,"[[38, 2, 0], [0, 40, 0], [0, 2, 18]]",raw1d,1,4,budget,small,27075.0,71.49069079999754
0.96,0.9525914468685553,0.9684108527131783,0.9416666666666668,0.9990972222222222,0.963855421686747,1.0,0.975,0.975,0.918918918918919,0.85,0.85,"[[40, 0, 0], [1, 39, 0], [2, 1, 17]]",spec2d,1,4,budget,small,32227.0,24.02188910001132
0.97,0.9659952350010829,0.975609756097561,0.9583333333333334,0.9951388888888889,0.9876543209876543,1.0,0.9629629629629629,0.975,0.9473684210526315,0.9,0.9,"[[40, 0, 0], [1, 39, 0], [0, 2, 18]]",raw1d_wide,1,4,budget,small,99795.0,353.1081864000007
0.98,0.975,0.975,0.975,0.9994444444444444,1.0,1.0,0.975,0.975,0.95,0.95,0.95,"[[40, 0, 0], [0, 39, 1], [0, 1, 19]]",spec2d_wide,1,4,budget,small,97775.0,41.897021299999324
0.98,0.9791035008694781,0.9841269841269842,0.975,1.0,0.9873417721518988,0.975,0.975609756097561,1.0,0.9743589743589743,0.95,0.95,"[[39, 1, 0], [0, 40, 0], [0, 1, 19]]",late,1,4,budget,small,73611.0,116.54839830000128
0.93,0.9255672038804569,0.9279069767441861,0.9249999999999999,0.9977777777777778,0.961038961038961,0.925,0.9156626506024096,0.95,0.9,0.9,0.9,"[[37, 3, 0], [0, 38, 2], [0, 2, 18]]",gated,1,4,budget,small,73673.0,108.235949599999
0.99,0.991665364379851,0.991869918699187,0.9916666666666667,1.0,0.9873417721518988,0.975,0.9876543209876543,1.0,1.0,1.0,1.0,"[[39, 1, 0], [0, 40, 0], [0, 0, 20]]",attention,1,4,budget,small,73421.0,77.68461569999636
0.98,0.9791035008694781,0.9841269841269842,0.975,0.9979166666666668,0.9873417721518988,0.975,0.975609756097561,1.0,0.9743589743589743,0.95,0.95,"[[39, 1, 0], [0, 40, 0], [0, 1, 19]]",score,1,4,budget,small,,0.0
