acc,f1_macro,precision_macro,recall_macro,auc,log_loss,brier,f1_c0,recall_c0,f1_c1,recall_c1,recall_ictal,cm,sensitivity,specificity,false_alarms,fa_per_hour_subsampled,model,fold,test_subjects,n_test,n_test_ictal,params,sec,best_epoch,epochs_run,val_f1,blend_w
0.8904761904761904,0.8005698005698005,0.8740133576199149,0.7619047619047619,0.8948412698412699,0.4652101519901171,0.199391427718773,0.9344729344729344,0.9761904761904762,0.6666666666666666,0.5476190476190477,0.5476190476190477,"[[164, 4], [19, 23]]",0.5476190476190477,0.9761904761904762,4,0.0256337225861577,spec2d_wide,3,chb04,210,42,102236,1476.9,14,27,0.6896893332124681,
0.9095238095238096,0.8645575206218813,0.850868032893878,0.8809523809523809,0.9644274376417232,0.2323322040304383,0.1344161540003535,0.9425981873111784,0.9285714285714286,0.7865168539325843,0.8333333333333334,0.8333333333333334,"[[156, 12], [7, 35]]",0.8333333333333334,0.9285714285714286,12,0.0769011677584733,late,3,chb04,210,42,102768,3174.4,15,28,0.7514124971990142,
0.8857142857142857,0.7942857142857143,0.8585164835164836,0.7589285714285714,0.8717403628117915,0.5774317721732475,0.2097637504891702,0.9314285714285714,0.9702380952380952,0.6571428571428571,0.5476190476190477,0.5476190476190477,"[[163, 5], [19, 23]]",0.5476190476190477,0.9702380952380952,5,0.0320421532326972,gated,3,chb04,210,42,102921,2746.9,11,24,0.7413209391591333,
0.8714285714285714,0.7711772065055087,0.8240617260430558,0.7410714285714286,0.8442460317460317,0.8080338090720569,0.2262506764774144,0.9226361031518624,0.9583333333333334,0.6197183098591549,0.5238095238095238,0.5238095238095238,"[[161, 7], [20, 22]]",0.5238095238095238,0.9583333333333334,7,0.0448590145257761,attention,3,chb04,210,42,102767,1119.8,36,49,0.7806546052234997,
0.8285714285714286,0.7532959143714919,0.7377069133398247,0.7767857142857143,0.8499149659863944,0.778841407124711,0.2916224394218944,0.8895705521472392,0.8630952380952381,0.6170212765957447,0.6904761904761905,0.6904761904761905,"[[145, 23], [13, 29]]",0.6904761904761905,0.8630952380952381,23,0.1473939048704073,early,3,chb04,210,42,102547,182.4,16,29,0.6855201001588654,
0.4483870967741935,0.4385663902392527,0.5552506918062005,0.5766129032258065,0.6476326742976066,1.067433411951979,0.7554709673018537,0.5128205128205128,0.3629032258064516,0.3643122676579926,0.7903225806451613,0.7903225806451613,"[[90, 158], [13, 49]]",0.7903225806451613,0.3629032258064516,158,4.050993518980129,raw1d,4,chb05,310,62,28850,114.0,7,20,0.7915907157613318,
0.8225806451612904,0.7634408602150538,0.7411674347158218,0.8165322580645161,0.8895031217481789,0.5526593455968755,0.2798201070019218,0.8817204301075269,0.8266129032258065,0.6451612903225806,0.8064516129032258,0.8064516129032258,"[[205, 43], [12, 50]]",0.8064516129032258,0.8266129032258065,43,1.1024855779502885,spec2d,4,chb05,310,62,34546,80.8,19,32,0.6534653465346534,
0.2483870967741935,0.2336420833731207,0.5504612045577862,0.5181451612903226,0.6307882414151925,1.7998408964481385,1.142116274064426,0.1273408239700374,0.0685483870967741,0.3399433427762039,0.967741935483871,0.967741935483871,"[[17, 231], [2, 60]]",0.967741935483871,0.0685483870967741,231,5.922655081546898,raw1d_wide,4,chb05,310,62,103712,331.4,2,20,0.8064862708031142,
0.8258064516129032,0.7743813682678311,0.750952380952381,0.842741935483871,0.9126560874089488,0.4760856588763226,0.2738255013952546,0.8820960698689956,0.8145161290322581,0.6666666666666666,0.8709677419354839,0.8709677419354839,"[[202, 46], [8, 54]]",0.8709677419354839,0.8145161290322581,46,1.1794031764119364,spec2d_wide,4,chb05,310,62,102236,93.6,8,21,0.6793362252282118,
0.8161290322580645,0.7548387096774194,0.7334869431643625,0.8064516129032258,0.8757154006243495,0.41954720789548,0.2667759263290137,0.8774193548387097,0.8225806451612904,0.632258064516129,0.7903225806451613,0.7903225806451613,"[[204, 44], [13, 49]]",0.7903225806451613,0.8225806451612904,44,1.1281247774375045,late,4,chb05,310,62,102768,181.6,5,20,0.8184117647058824,
