acc,f1_macro,precision_macro,recall_macro,auc,f1_c0,recall_c0,f1_c1,recall_c1,recall_ictal,cm,model,repeat,fold,params,sec,blend_w
0.9333333333333333,0.9282296650717703,0.9166666666666667,0.95,0.9925,0.9473684210526315,0.9,0.9090909090909091,1.0,1.0,"[[36, 4], [0, 20]]",raw1d,2,1,26946,22.01695440000185,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[40, 0], [0, 20]]",spec2d,2,1,32098,7.333579900005134,
0.9666666666666667,0.9614890885750962,0.9761904761904762,0.95,1.0,0.975609756097561,1.0,0.9473684210526315,0.9,0.9,"[[40, 0], [2, 18]]",raw1d_wide,2,1,99666,76.4709040999951,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[40, 0], [0, 20]]",spec2d_wide,2,1,97646,16.601216100003512,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[40, 0], [0, 20]]",late,2,1,98416,37.38033670000004,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[40, 0], [0, 20]]",gated,2,1,98569,38.00554440000269,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[40, 0], [0, 20]]",attention,2,1,98415,40.80107190000126,
0.9166666666666666,0.9093929326487467,0.899529964747356,0.925,0.9862500000000001,0.935064935064935,0.9,0.8837209302325582,0.95,0.95,"[[36, 4], [1, 19]]",early,2,1,97617,22.39957560000039,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[40, 0], [0, 20]]",score,2,1,59044,0.08982149999792455,0.0
0.9,0.8923444976076556,0.8819444444444444,0.9125,0.98,0.9210526315789473,0.875,0.8636363636363636,0.95,0.95,"[[35, 5], [1, 19]]",logvar,2,1,2,0.021742999997513834,
0.9333333333333333,0.9267399267399268,0.9186602870813397,0.9375,0.9925,0.9487179487179487,0.925,0.9047619047619048,0.95,0.95,"[[37, 3], [1, 19]]",shallow,2,1,14,0.020719200001622085,
0.9666666666666667,0.9614890885750962,0.9761904761904762,0.95,0.99875,0.975609756097561,1.0,0.9473684210526315,0.9,0.9,"[[40, 0], [2, 18]]",raw1d,2,2,26946,21.711209100001724,
0.9833333333333333,0.9810066476733144,0.9878048780487805,0.975,0.99875,0.9876543209876543,1.0,0.9743589743589743,0.95,0.95,"[[40, 0], [1, 19]]",spec2d,2,2,32098,8.070990600004734,
0.9666666666666667,0.9614890885750962,0.9761904761904762,0.95,0.9974999999999999,0.975609756097561,1.0,0.9473684210526315,0.9,0.9,"[[40, 0], [2, 18]]",raw1d_wide,2,2,99666,62.923045799994725,
0.9833333333333333,0.9810066476733144,0.9878048780487805,0.975,1.0,0.9876543209876543,1.0,0.9743589743589743,0.95,0.95,"[[40, 0], [1, 19]]",spec2d_wide,2,2,97646,15.78787949999969,
0.9833333333333333,0.9814757641247298,0.9761904761904762,0.9875,0.99875,0.9873417721518988,0.975,0.975609756097561,1.0,1.0,"[[39, 1], [0, 20]]",late,2,2,98416,35.133926900001825,
0.9833333333333333,0.9814757641247298,0.9761904761904762,0.9875,1.0,0.9873417721518988,0.975,0.975609756097561,1.0,1.0,"[[39, 1], [0, 20]]",gated,2,2,98569,34.15080619999935,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[40, 0], [0, 20]]",attention,2,2,98415,33.42190739999933,
0.9333333333333333,0.9229781771501926,0.9365079365079365,0.9125,0.98125,0.9512195121951219,0.975,0.8947368421052632,0.85,0.85,"[[39, 1], [3, 17]]",early,2,2,97617,19.40126009999949,
